Date,Product,Sales,Profit
2025-01-01,Laptop,50000,8000
2025-01-02,Mouse,2000,500
2025-01-03,Keyboard,3000,700
2025-01-04,Monitor,10000,2000
2025-01-05,Laptop,55000,9000
2025-01-06,Mouse,2500,600
2025-01-07,Keyboard,3500,800
2025-01-08,Monitor,12000,2500
2025-01-09,Laptop,60000,9500
2025-01-10,Mouse,2700,650
2025-01-11,Keyboard,3200,750
2025-01-12,Monitor,11000,2200
2025-01-13,Laptop,58000,9200
2025-01-14,Mouse,2600,620
2025-01-15,Keyboard,3700,850
2025-01-16,Monitor,13000,2700
2025-01-17,Laptop,62000,10000
2025-01-18,Mouse,2900,700
